name,price,description,stock,discontinued,photo,merchant_id
Rototiller,481,A tractor implement that tills soil with blades via rotary action.  Modular. Included in Global Village Construction Set,40,false,products/Rototiller.png,19
Sawmill,4913,Converts felled logs from trees into green wood lumbar. Modular. Included in Global Village Construction Set,27,false,products/Sawmill2.jpg,19
Seeder,2145,Enables Tractor planting of any type of seed from small seeds like clover to large seeds such as potatoes.  Modular. Included in Global Village Construction Set,21,false,products/Seeder.png,19
Solar Concentrator,4770,Systems that use mirrors or lenses to concentrate a large area of sunlight onto a small area. Modular. Included in Global Village Construction Set,15,false,products/SolarConcentrator.png,19
Spader,4352,Set of mechanical shovels that prepare soil for planting without causing a hardpan typical of rototiller tilling. Modular. Included in Global Village Construction Set,21,false,products/Spader.png,19
Steam Engine,1569,Takes energy available as high pressure and high temperature steam; converts it into reciprocal motion. Modular. Included in Global Village Construction Set,47,false,products/Design-7-A.png,19
Steam Generator,3842,Device used to create steam by applying heat energy to water. Modular. Included in Global Village Construction Set,26,false,products/Steam_Generator.png,19
Tractor,858,Low-cost and multipurpose open source tractor; workhorse backbone. Modular. Included in Global Village Construction Set,38,false,products/LiftTracWithTracks.jpg,19
Trencher,231,Used to dig trenches; typically for laying pipes or for drainage.  Modular. Included in Global Village Construction Set,39,false,products/1000px-Trencherv1.jpg,19
Truck,3223,Transportation machine that you can drive in order to move yourself and your stuff to wherever you can get with wheels. Modular. Included in Global Village Construction Set,49,false,products/Truck.png,19
Universal Power Supply,2988,Forms the backbone of an off-grid electrical system.  Modular. Included in Global Village Construction Set,21,false,products/UPS.png,19
Universal Rotor,546,A standardized triple interface mount that allows for various tasks to be accomplished by harnessing the high rotational torque and speeds generated by a hydraulic motor. Modular. Included in Global Village Construction Set,17,false,products/UniversalRotor.png,19
Welder,3210,Enables the fabrication process that joins metal pieces together.  Modular. Included in Global Village Construction Set,39,false,products/Welderpic.png,19
Well-Drilling Rig,3938,Enables the construction of water wells. Modular. Included in Global Village Construction Set,30,false,products/Well-Drilling_Rigpic.png,19
Wind Turbine,2154,Converts mechanical kinetic energy of the wind into electrical energy.  Modular. Included in Global Village Construction Set,18,false,products/WindTurbine.png,19
Rover Rack,2605,Safe place to store your rover - easy install,53,false,products/image_not_available.jpg,20
